Layer,Name,GEOID,Population,Longitude,Latitude,YPLL_2013-2017,INC_2015-2019,HDX_2015-2019,EDX_2015-2019,HTA_2015-2019,UMP_2015-2019,POV_2015-2019,POP_2015-2019,VRSU_2015-2019,VRLE_2019
Community area,Logan Square,22,71742,-87.69914900,41.92276800,4571.0,93932.6098684692,22.2781321562643,0.633510901049931,4.16984077791907,3.17114032657916,11.3164168289958,72410.235757,16.0,81.303544922
Community area,Humboldt Park,23,53832,-87.72091700,41.90008000,9450.0,41646.2553053117,86.8238450953804,0.763458353202243,16.6436068544751,11.7884292548421,26.6808956070045,55049.319577,16.0,73.683279119
Community area,West Town,24,87942,-87.67635800,41.90121600,4748.0,112881.109223498,11.8576727497457,0.538897806070567,3.96423400729176,3.51827166980835,10.8919416610081,84714.808339,24.0,81.070150958
Community area,Austin,25,96753,-87.76311700,41.89411300,14123.0,43187.3157226943,76.4689291825043,0.755630251368219,11.9463271264784,11.9320150559996,25.3834501888885,93940.666333,24.0,71.012466422
Community area,West Garfield Park,26,17423,-87.73023300,41.87860200,16386.0,27406.0948794965,94.9924952,0.730740955802859,21.776839105864,20.2886692690276,39.0036085963692,16414.888906,10.0,69.05180762
Community area,East Garfield Park,27,19995,-87.70589200,41.87892300,15920.0,26139.0961501081,93.2087866493731,0.719234830288125,19.5772932507102,17.5436971899511,44.3511986623673,18950.718601,0.0,67.725109634
Community area,Near West Side,28,67817,-87.66351300,41.87401600,6468.0,80801.0755912205,50.9411041233124,0.545143094485232,7.42127029644035,8.3862206971593,25.4373414697025,63280.09464,17.0,75.963707652
Community area,North Lawndale,29,34817,-87.71721800,41.86019700,16013.0,32051.0413629077,88.7492962943704,0.749592278031579,21.7566668581731,14.4097539145349,38.13909172783,32086.480035,5.0,69.141987323
Community area,Uptown,3,52255,-87.65589900,41.96582200,4733.0,65737.0238507811,29.5512042560213,0.619092758726261,2.22911710159281,3.5723128309611,17.6657769265917,53663.317254,35.0,76.005644552
Community area,South Lawndale,30,71402,-87.71400000,41.83909100,4831.0,37292.548640096,94.1245133451335,0.747681844556525,10.3651617134251,8.70074396350244,27.9704984354139,72091.383081,12.0,78.927058256
Community area,Lower West Side,31,33716,-87.66757000,41.85027700,4880.0,54562.1100773813,61.4737307737308,0.791842785854406,5.96582457191008,4.87292339134106,15.4104922940335,33050.021824,19.0,80.948944574
Community area,Loop,32,39135,-87.62519400,41.87888100,3517.0,124158.517025932,4.25274503408657,0.356215037014619,0.962862547108868,5.61386293080886,11.3817703092548,35958.497534,18.0,81.246381842
Community area,Near South Side,33,27044,-87.62034400,41.85719600,5652.0,112132.525996378,2.64819629278517,0.364680516094327,4.64711127266704,0.709945356185135,10.2572695971698,19810.006139,14.0,79.443563518
Community area,Armour Square,34,13847,-87.63397600,41.84208300,4989.0,33603.1881052437,90.9409994180012,0.741691368723352,6.82851068575712,12.8697222516743,37.3926237377569,13585.42411,2.0,80.733412993
Community area,Douglas,35,17630,-87.61868000,41.83512200,11277.0,43607.3809472167,61.7384138603465,0.637898828130273,10.2922033532991,12.349215684039,34.9312873573685,18763.463356,12.0,72.076329935
Community area,Oakland,36,4280,-87.60321700,41.82375400,12293.0,36117.4687645832,80.8806519904318,0.792799494320988,24.2466809506248,15.409538443244,24.7303164501057,4425.440249,0.0,66.834609103
Community area,Fuller Park,37,2549,-87.63242700,41.80908200,17890.0,25681.9727155629,95.3010547328963,0.736712984734896,5.69503444893764,25.1432215844565,29.3386848936026,2396.551147,1.0,66.299409599
Community area,Grand Boulevard,38,24586,-87.61786000,41.81294700,12446.0,40879.263219692,78.9957384804083,0.726570245096253,16.2493069323793,15.3732062634849,29.0246827516973,22636.700945,2.0,73.887009197
Community area,Kenwood,39,14716,-87.59618600,41.80891800,8405.0,59019.4862999472,36.1475687,0.64839933721315,8.97430342939211,9.57757530817873,19.431431303602,14201.388739,7.0,80.503191001
Community area,Lincoln Square,4,40412,-87.68751300,41.97518200,2393.0,90456.5600445997,18.2385488385488,0.597781397859424,3.22992063614154,4.15388786277882,8.16097667454616,42033.841869,13.0,81.537196922
Community area,Washington Park,40,12709,-87.61793600,41.79235600,15689.0,29350.6249767657,91.8521198860381,0.75594414557227,25.35842478313,21.9298241296064,37.1842735540573,10969.043052,3.0,70.376794277
Community area,Hyde Park,41,23914,-87.59230500,41.79408800,4462.0,67101.3110260848,30.3457324542676,0.462408702597262,2.2224752650128,7.81604658718002,20.8223756840121,22487.887103,7.0,82.673979726
Community area,Woodlawn,42,24630,-87.59492400,41.77887700,12684.0,31305.0391547936,84.4209996469976,0.737275830476335,11.755210684476,17.7055020977893,35.5076121813165,22922.634445,5.0,75.281395718
Community area,South Shore,43,45611,-87.57279000,41.76158300,14627.0,38934.1805295251,78.7679884039652,0.755826991573134,14.7496159971606,16.2997925564267,31.09504774571,43755.223524,16.0,71.868932078
Community area,Chatham,44,31804,-87.61596500,41.74020600,14456.0,45086.6610205018,77.8015228304566,0.790325160183691,10.1021537766755,15.345092340582,23.7852291177321,31122.174153,15.0,72.058629299
Community area,Avalon Park,45,9359,-87.58634700,41.74419700,12293.0,48350.1639205985,77.6490970454852,0.810173935489709,6.58873589303094,14.5586798650409,20.8054281323115,9589.463276,1.0,74.621979029
Community area,South Chicago,46,25975,-87.55143500,41.74124300,12593.0,40967.9555513035,84.1796926203074,0.758718656459392,16.5681718228737,18.2360446124729,28.8380762548372,28332.448885,5.0,71.69052552
Community area,Burnside,47,2514,-87.59647000,41.72818100,12358.0,30628.5191308198,84.3480301724224,0.800342340893947,7.54779688272411,20.1272778552598,15.7085854899638,1996.719897,0.0,72.644522088
Community area,Calumet Heights,48,13085,-87.57272000,41.72967300,10868.0,49135.9522009329,60.0319036866065,0.806259732943696,9.83078421152684,9.08322028847087,15.6659033164236,12798.740461,7.0,74.765684435
Community area,Roseland,49,38934,-87.62336600,41.70658800,14360.0,44055.8256008593,84.0340444872901,0.802179215808028,13.9660579682337,20.138681828876,23.4093236287476,39252.989495,15.0,71.468448914
Community area,North Center,5,35150,-87.68383900,41.94781100,1896.0,130550.382878341,5.13367746632253,0.401883116085335,3.61654089276297,2.76752887700934,5.28934818053859,35603.029202,11.0,82.971569893
Community area,Pullman,50,6866,-87.59825200,41.70613100,11992.0,42515.9278399179,65.1611264450578,0.801515713601064,14.471749142245,15.8933971361841,19.7431866194561,6881.377037,3.0,73.149310568
Community area,South Deering,51,14125,-87.57005800,41.69063900,11285.0,31576.2579850119,94.2636047448854,0.753443548419307,22.7336409397173,16.1288062386211,38.2696391576618,15488.044697,3.0,73.974569516
Community area,East Side,52,21529,-87.53490700,41.70730600,5684.0,53702.8500095365,84.7551518230466,0.767722985601311,12.0844897514922,10.0293823407263,17.9197522098177,23448.75298,6.0,78.25126976
Community area,West Pullman,53,25788,-87.63574500,41.67382000,13808.0,47004.9306736363,82.5862612175673,0.807202336531742,13.5003653866811,17.1349531149153,22.4085819475968,26700.344133,6.0,70.463293092
Community area,Riverdale,54,7229,-87.60284900,41.66013700,13639.0,16500.6282674252,98.5793404140637,0.620560615243313,35.9139229780876,30.8783756362416,53.8596822490281,7325.656375,0.0,67.964912188
Community area,Hegewisch,55,9884,-87.55680300,41.66818800,7982.0,58217.771724617,61.6935105010455,0.79060586726306,6.47643079146968,6.12257567796463,16.790797359054,9003.049938,7.0,77.241165322
Community area,Garfield Ridge,56,35352,-87.76424600,41.79618500,7042.0,80226.4071312615,59.9563687449511,0.735499501977035,4.94222578029716,8.87480717843285,8.4699102500327,37113.7674,9.0,79.938796939
Community area,Archer Heights,57,14282,-87.72636500,41.81087300,5885.0,56529.1678319549,84.7738327738328,0.796132206904022,6.59024287679813,7.67738529783401,14.12795578984,13816.249237,7.0,78.878765707
Community area,Brighton Park,58,45141,-87.69885900,41.81736400,5236.0,44738.483854697,89.2407135849951,0.757984526615888,10.6329749850306,7.91818712046482,23.7231680345542,44347.377613,15.0,79.717756182
Community area,McKinley Park,59,15927,-87.67250000,41.82992700,4620.0,53794.8087700102,77.5653947198673,0.813902283771326,6.06872224442115,7.54214437338677,19.2263800977928,15188.12425,3.0,80.425544893
Community area,Lake View,6,91836,-87.65600100,41.94423600,1781.0,113358.394577873,3.76950203049797,0.376525968219868,1.81534105108867,2.80145828767608,7.92000613643862,90172.378144,55.0,82.453542077
Community area,Bridgeport,60,33593,-87.64878400,41.83615100,5991.0,62299.5858170896,60.3178615535847,0.774757984039691,5.45481529237431,6.83905948336054,14.6796024122489,34483.901503,18.0,80.3469067
Community area,New City,61,43510,-87.65917100,41.80901700,9173.0,47877.3615917603,84.0359637236735,0.757485356989884,10.6215005935169,14.3505283747411,24.8253252340754,39458.488229,13.0,73.705978569
Community area,West Elsdon,62,18249,-87.72421300,41.79297700,5185.0,65600.5361669492,79.7350362,0.787414737949407,7.21690460916831,11.0525071194495,9.03198849307698,18992.537247,13.0,83.077872208
Community area,Gage Park,63,39439,-87.69643300,41.79542900,5684.0,45761.7443151596,89.23122778105,0.752714179922852,10.0042120488403,12.9880586449943,18.1911484944911,37204.527625,6.0,79.472036191
Community area,Clearing,64,24519,-87.76851700,41.77958200,7589.0,64654.753462303,58.4620500338676,0.794909971011624,5.95873418608622,8.74614113591666,8.76630636604595,25018.229401,12.0,77.997419059
Community area,West Lawn,65,33543,-87.72692700,41.76977400,5666.0,63014.89596274,79.6748822995292,0.801825776109853,5.36329810814169,10.874660911621,12.6670774835603,31799.903511,15.0,78.905521378
Community area,Chicago Lawn,66,55789,-87.69566700,41.77184900,9166.0,39008.7454955324,91.7643295356705,0.761680680824156,12.5024658368012,20.8814488843163,24.2472780776969,51182.393421,20.0,73.525381072
Community area,West Englewood,67,29899,-87.66659800,41.77592600,15319.0,29425.7481131913,95.3436795425522,0.742437013789855,12.4686134054895,27.0193531577251,33.2776061821018,26567.535681,9.0,71.849620019
Community area,Englewood,68,24322,-87.64250200,41.77720100,16235.0,25565.9828611928,94.9771446771447,0.718229660184108,14.344612681147,24.4724802904274,40.1025625630883,22874.516993,7.0,71.069051292
Community area,Greater Grand Crossing,69,31543,-87.61613900,41.76325100,16563.0,31107.0727382822,89.4209471094711,0.743630257418483,24.1154288942711,21.9003885477824,35.8672672676466,30215.363374,9.0,71.650329125
Community area,Lincoln Park,7,63433,-87.64949100,41.92269600,1695.0,133791.665038433,1.6111132333779,0.328385469927643,1.90944195940336,2.73608968432817,9.14617440954786,62535.374094,12.0,80.689056873
Community area,Ashburn,70,41280,-87.70836300,41.74575600,7702.0,77056.2341226172,71.3132409442646,0.790159462871393,8.59793811157726,11.1055381719346,13.1117095573926,43537.909724,13.0,76.144405963
Community area,Auburn Gresham,71,44959,-87.65630500,41.74420300,13089.0,37669.8415712895,83.6347296,0.79074249950197,14.4344005008336,15.9345531110451,25.1686331311471,45992.397076,17.0,71.051660202
Community area,Beverly,72,19950,-87.67507200,41.71314800,6038.0,113510.839552367,14.1532192047265,0.570443702525736,4.73166732314123,4.41861769789555,4.69124343795363,19826.532537,14.0,79.487946663
Community area,Washington Heights,73,25075,-87.64889700,41.71749500,13098.0,57158.7918017955,77.0278050892713,0.799105936397864,9.33378455113225,15.6781807659443,21.0760000505118,26635.007753,4.0,72.781468547
Community area,Mount Greenwood,74,18633,-87.71318900,41.69487600,5953.0,105736.234531911,19.4081710389077,0.616306247852137,4.04648592950342,4.10041728430124,4.64121749531659,19196.883036,16.0,78.246616854
Community area,Morgan Park,75,21714,-87.66906200,41.68972900,9918.0,67711.0251181456,53.1202513810055,0.730687401983729,8.03593938272817,11.2958145264528,11.8900495631657,21594.815938,7.0,75.012953862
Community area,O'Hare,76,14416,-87.89369900,41.97569600,4673.0,62772.7256053267,58.9188694998383,0.782624771870831,3.46848522357792,4.41111302875745,13.2854038628253,15655.21018,6.0,81.439524423
Community area,Edgewater,77,47343,-87.66341900,41.98671900,5853.0,71991.0498765848,26.8035635964364,0.646263316278651,1.77266760450478,4.93377304280793,13.1524016255391,48691.025555,35.0,81.415380696
Community area,Near North Side,8,95467,-87.63331800,41.89961100,2538.0,111369.375452017,3.9200019,0.402102371216404,2.83652556808216,2.64779676004801,9.42543598801634,84576.024332,58.0,82.124658502
Community area,Edison Park,9,11521,-87.81378000,42.00762700,2874.0,111770.31688446,6.40612200814828,0.499395422729891,2.43264194485733,1.55868708502181,3.5051456636979,11254.802798,6.0,82.637138602
